Survived,Pclass,normalized_Age,Age,Age_category
0,3,0.45272319662402744,34.5,Medium
1,3,0.6175656072794409,47.0,Medium
0,2,0.815376500065937,62.0,High
0,3,0.3538177502307794,27.0,Medium
1,3,0.287880785968614,22.0,Low
0,3,0.18238164314914942,14.0,Low
1,3,0.3933799287880786,30.0,Medium
0,2,0.3406303573783463,26.0,Medium
1,3,0.2351312145588817,18.0,Low
0,3,0.2746933931161809,21.0,Low
0,3,0.39697468497225086,30.272590361445783,Medium
0,1,0.6043782144270078,46.0,Medium
1,1,0.3010681788210471,23.0,Low
0,2,0.8285638929183701,63.0,High
1,1,0.6175656072794409,47.0,Medium
1,2,0.3142555716734801,24.0,Low
0,2,0.459316893050244,35.0,Medium
0,3,0.2746933931161809,21.0,Low
1,3,0.3538177502307794,27.0,Medium
1,3,0.5911908215745747,45.0,Medium
0,1,0.7230647500989055,55.0,High
0,3,0.11644467888698405,9.0,Low
1,1,0.39697468497225086,30.272590361445783,Medium
0,1,0.2746933931161809,21.0,Low
1,1,0.630753000131874,48.0,Medium
0,3,0.65712778583674,50.0,Medium
1,1,0.287880785968614,22.0,Low
0,3,0.29447448239483054,22.5,Low
0,1,0.5384412501648425,41.0,Medium
0,3,0.39697468497225086,30.272590361445783,Medium
0,2,0.65712778583674,50.0,Medium
0,2,0.3142555716734801,24.0,Low
1,3,0.4329421073453778,33.0,Medium
1,3,0.39697468497225086,30.272590361445783,Medium
0,1,0.3933799287880786,30.0,Medium
0,3,0.24172491098509824,18.5,Low
1,3,0.39697468497225086,30.272590361445783,Medium
1,3,0.2746933931161809,21.0,Low
0,3,0.3274429645259132,25.0,Low
0,3,0.39697468497225086,30.272590361445783,Medium
0,3,0.5120664644599763,39.0,Medium
0,1,0.39697468497225086,30.272590361445783,Medium
0,3,0.5384412501648425,41.0,Medium
1,2,0.3933799287880786,30.0,Medium
1,1,0.5911908215745747,45.0,Medium
0,3,0.3274429645259132,25.0,Low
0,1,0.5911908215745747,45.0,Medium
0,3,0.39697468497225086,30.272590361445783,Medium
1,1,0.7890017143610708,60.0,High
1,3,0.472504285902677,36.0,Medium
0,1,0.3142555716734801,24.0,Low
0,2,0.3538177502307794,27.0,Medium
1,2,0.2615060002637478,20.0,Low
1,1,0.3670051430832124,28.0,Medium
0,2,0.39697468497225086,30.272590361445783,Medium
0,3,0.12963207173941713,10.0,Low
0,3,0.459316893050244,35.0,Medium
0,3,0.3274429645259132,25.0,Low
0,3,0.39697468497225086,30.272590361445783,Medium
1,1,0.472504285902677,36.0,Medium
0,3,0.2219438217064486,17.0,Low
0,2,0.4197547144929447,32.0,Medium
0,3,0.2351312145588817,18.0,Low
1,3,0.287880785968614,22.0,Low
0,1,0.16919425029671634,13.0,Low
1,2,0.39697468497225086,30.272590361445783,Medium
1,3,0.2351312145588817,18.0,Low
0,1,0.6175656072794409,47.0,Medium
0,1,0.4065673216405117,31.0,Medium
1,1,0.7890017143610708,60.0,High
1,3,0.3142555716734801,24.0,Low
0,3,0.2746933931161809,21.0,Low
1,3,0.3801925359356455,29.0,Medium
0,1,0.37359883950942896,28.5,Medium
1,1,0.459316893050244,35.0,Medium
0,1,0.42634841091916126,32.5,Medium
0,3,0.39697468497225086,30.272590361445783,Medium
1,1,0.7230647500989055,55.0,High
0,2,0.3933799287880786,30.0,Medium
1,3,0.3142555716734801,24.0,Low
0,3,0.07688250032968483,6.0,Low
